uf,dtmonth,count1,count2,predicted,delivered
Acre,2017-01,94,94,,
Acre,2017-02,53,53,,
Acre,2017-03,94,94,,
Acre,2017-04,218,218,,
Acre,2017-05,222,222,,
Acre,2017-06,346,346,,
Acre,2017-07,257,257,,
Acre,2017-08,306,306,,
Acre,2017-09,489,489,,
Acre,2017-10,344,344,,
Acre,2017-11,204,204,,
Acre,2017-12,197,197,,
Acre,2018-01,76,76,,
Acre,2018-02,242,242,,
Acre,2018-03,435,435,,
Acre,2018-04,291,291,,
Acre,2018-05,127,127,,
Acre,2018-06,670,670,,
Acre,2018-07,492,492,,
Acre,2018-08,344,344,,
Acre,2018-09,545,545,,
Acre,2018-10,388,388,85,256
Acre,2018-11,276,276,113,340
