 Morbidade Hospitalar do SUS - por local de internação - Goiás
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2008-Jun/2018
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"520013 Acreúna";9339;9339;3826732,21;3235232,57;-;-;591499,64;-;-;409,76;409,76;29829;3,2;3;0,03
"520025 Águas Lindas de Goiás";16656;16656;5606304,88;4259622,09;-;-;1346682,79;-;-;336,59;336,59;40739;2,4;128;0,77
"520030 Alexânia";12263;12263;4297705,72;3150412,43;50069,31;-;1066034,99;-;-;350,46;350,46;28536;2,3;140;1,14
"520050 Aloândia";691;691;249877,22;193590,43;-;-;56286,79;-;-;361,62;361,62;2196;3,2;14;2,03
"520060 Alto Paraíso de Goiás";676;676;257108,05;219941,86;-;-;37166,19;-;-;380,34;380,34;1996;3,0;6;0,89
"520080 Alvorada do Norte";9278;9278;2893492,28;2370236,55;-;-;523255,73;-;-;311,87;311,87;23192;2,5;104;1,12
"520085 Americano do Brasil";2646;2646;848233,48;695414,11;-;-;152819,37;-;-;320,57;320,57;8231;3,1;6;0,23
"520090 Amorinópolis";2008;2008;558536,17;448150,69;-;-;110385,48;-;-;278,16;278,16;4766;2,4;8;0,40
"520110 Anápolis";325525;347959;398039610,09;317240740,27;2259237,93;-;77391021,67;-;-;1143,93;1222,76;2389474;7,3;14537;4,47
"520130 Anicuns";6178;6178;1924337,44;1603145,91;-;-;321191,53;-;-;311,48;311,48;17635;2,9;53;0,86
"520140 Aparecida de Goiânia";172541;183861;284947527,91;230265718,44;1092831,99;183056,20;52371065,34;183056,20;178334,25;1549,80;1651,48;1216694;7,1;5305;3,07
"520150 Aporé";2333;2333;742368,86;582722,00;-;-;159646,86;-;-;318,20;318,20;6601;2,8;15;0,64
"520160 Araçu";2454;2454;610144,28;524410,31;-;-;85733,97;-;-;248,63;248,63;5163;2,1;27;1,10
"520170 Aragarças";8636;8636;3873205,49;2792011,90;-;-;1081193,59;-;-;448,50;448,50;22644;2,6;123;1,42
"520180 Aragoiânia";4213;4213;1159435,70;1003687,75;-;-;155747,95;-;-;275,20;275,20;12386;2,9;9;0,21
"520215 Araguapaz";2932;2932;919367,20;768559,60;-;-;150807,60;-;-;313,56;313,56;8063;2,8;24;0,82
"520235 Arenópolis";2743;2743;786200,55;671056,31;-;-;115144,24;-;-;286,62;286,62;7512;2,7;11;0,40
"520250 Aruanã";2128;2128;811429,74;626868,41;2591,59;-;180680,74;-;-;381,31;381,31;6844;3,2;5;0,23
"520280 Avelinópolis";1262;1262;312614,87;268911,42;-;-;43703,45;-;-;247,71;247,71;3426;2,7;10;0,79
"520320 Barro Alto";3058;3058;1091581,46;932769,93;-;-;158811,53;-;-;356,96;356,96;11129;3,6;16;0,52
"520330 Bela Vista de Goiás";8230;8230;2840834,15;2338285,42;-;-;502548,73;-;-;345,18;345,18;18698;2,3;79;0,96
"520340 Bom Jardim de Goiás";3974;3974;1262789,53;1029596,81;-;-;233192,72;-;-;317,76;317,76;10476;2,6;59;1,48
"520350 Bom Jesus de Goiás";8240;8240;2468891,14;1955133,09;-;-;513758,05;-;-;299,62;299,62;21683;2,6;158;1,92
"520355 Bonfinópolis";2426;2426;645209,69;565487,90;-;-;79721,79;-;-;265,96;265,96;7648;3,2;3;0,12
"520380 Britânia";4488;4488;1455370,63;1214046,79;-;-;241323,84;-;-;324,28;324,28;13105;2,9;19;0,42
"520390 Buriti Alegre";9284;9284;2697927,81;2292570,45;-;-;405357,36;-;-;290,60;290,60;26456;2,8;89;0,96
"520393 Buriti de Goiás";1348;1348;422167,98;355100,85;-;-;67067,13;-;-;313,18;313,18;4098;3,0;10;0,74
"520400 Cabeceiras";1828;1828;625536,85;547027,00;-;-;78509,85;-;-;342,20;342,20;4383;2,4;17;0,93
"520410 Cachoeira Alta";2615;2615;816759,06;663579,88;-;-;153179,18;-;-;312,34;312,34;7884;3,0;17;0,65
"520425 Cachoeira Dourada";1974;1974;650950,77;517717,18;-;-;133233,59;-;-;329,76;329,76;6005;3,0;21;1,06
"520430 Caçu";5559;5559;2018961,14;1559520,49;7097,51;-;448116,89;-;-;363,19;363,19;16529;3,0;48;0,86
"520440 Caiapônia";21122;21122;6484041,66;5422852,97;-;-;1061188,69;-;-;306,98;306,98;49025;2,3;186;0,88
"520450 Caldas Novas";41381;41381;16824674,10;11965384,77;140132,83;-;4633466,36;-;-;406,58;406,58;90951;2,2;386;0,93
"520465 Campinaçu";649;649;202200,92;172451,68;-;-;29749,24;-;-;311,56;311,56;1912;2,9;1;0,15
"520470 Campinorte";6896;6896;2347291,46;1908986,52;-;-;438304,94;-;-;340,38;340,38;18259;2,6;12;0,17
"520480 Campo Alegre de Goiás";535;535;183497,87;161508,45;-;-;21989,42;-;-;342,99;342,99;1904;3,6;1;0,19
"520490 Campos Belos";11622;11622;4329363,09;3245338,56;-;-;1084024,53;-;-;372,51;372,51;29734;2,6;13;0,11
"520495 Campos Verdes";1466;1466;473282,28;400076,99;-;-;73205,29;-;-;322,84;322,84;3900;2,7;-;-
"520500 Carmo do Rio Verde";2583;2583;646483,07;560668,74;-;-;85814,33;-;-;250,28;250,28;7174;2,8;15;0,58
"520505 Castelândia";1143;1143;363355,96;303953,07;-;-;59402,89;-;-;317,90;317,90;2945;2,6;3;0,26
"520510 Catalão";47921;47921;36998767,14;29506828,16;307648,81;-;7014875,75;-;-;772,08;772,08;167814;3,5;2178;4,54
"520520 Caturaí";1742;1742;405173,81;343174,62;-;-;61999,19;-;-;232,59;232,59;3231;1,9;13;0,75
"520530 Cavalcante";3836;3836;1180899,83;977267,94;-;-;203631,89;-;-;307,85;307,85;11583;3,0;46;1,20
"520540 Ceres";53134;53134;37098008,25;28500840,61;776562,37;-;7482208,83;-;-;698,20;698,20;144732;2,7;1312;2,47
"520545 Cezarina";2902;2902;940679,96;711811,42;-;-;228868,54;-;-;324,15;324,15;5818;2,0;-;-
"520547 Chapadão do Céu";3474;3474;1248409,47;942896,37;-;-;305513,10;-;-;359,36;359,36;9687;2,8;20;0,58
"520549 Cidade Ocidental";4570;4570;2012095,04;1108095,85;-;-;903999,19;-;-;440,28;440,28;10137;2,2;3;0,07
"520551 Cocalzinho de Goiás";2076;2076;651313,95;571269,85;-;-;80044,10;-;-;313,74;313,74;6564;3,2;6;0,29
"520552 Colinas do Sul";2850;2850;681536,27;597490,41;-;-;84045,86;-;-;239,14;239,14;6947;2,4;5;0,18
"520570 Córrego do Ouro";1845;1845;503872,91;436606,18;-;-;67266,73;-;-;273,10;273,10;5259;2,9;7;0,38
"520580 Corumbá de Goiás";2902;2902;827373,00;706267,76;-;-;121105,24;-;-;285,10;285,10;10061;3,5;18;0,62
"520590 Corumbaíba";4334;4334;1048983,60;900410,59;-;-;148573,01;-;-;242,04;242,04;11961;2,8;84;1,94
"520620 Cristalina";9805;9805;4000799,94;2972344,90;-;-;1028455,04;-;-;408,04;408,04;25694;2,6;139;1,42
"520630 Cristianópolis";1093;1093;228445,71;193481,71;-;-;34964,00;-;-;209,01;209,01;3564;3,3;3;0,27
"520640 Crixás";13622;13622;4678938,74;3965603,51;-;-;713335,23;-;-;343,48;343,48;39551;2,9;32;0,23
"520650 Cromínia";2734;2734;524554,80;449322,40;-;-;75232,40;-;-;191,86;191,86;3591;1,3;7;0,26
"520660 Cumari";394;394;114219,03;100782,36;-;-;13436,67;-;-;289,90;289,90;1169;3,0;3;0,76
"520670 Damianópolis";3533;3533;1046128,54;837718,14;-;-;208410,40;-;-;296,10;296,10;9801;2,8;6;0,17
"520680 Damolândia";1437;1437;384185,77;336687,89;-;-;47497,88;-;-;267,35;267,35;3684;2,6;4;0,28
"520710 Diorama";476;476;179182,67;146458,39;-;-;32724,28;-;-;376,43;376,43;1439;3,0;10;2,10
"520830 Divinópolis de Goiás";2410;2410;840158,45;708088,08;-;-;132070,37;-;-;348,61;348,61;6405;2,7;-;-
"520725 Doverlândia";5698;5698;1715502,77;1440630,54;-;-;274872,23;-;-;301,07;301,07;16692;2,9;19;0,33
"520740 Edéia";6638;6638;2250171,67;1914198,99;-;-;335972,68;-;-;338,98;338,98;18289;2,8;96;1,45
"520750 Estrela do Norte";2273;2273;639760,32;535426,36;-;-;104333,96;-;-;281,46;281,46;6785;3,0;4;0,18
"520753 Faina";1831;1831;591857,20;501945,87;-;-;89911,33;-;-;323,24;323,24;4938;2,7;1;0,05
"520760 Fazenda Nova";1940;1940;591750,66;509482,21;-;-;82268,45;-;-;305,03;305,03;5429;2,8;-;-
"520780 Firminópolis";14160;14160;3770823,12;3134813,49;-;3164,40;625990,83;3164,40;6854,40;266,30;266,30;30234;2,1;144;1,02
"520790 Flores de Goiás";2077;2077;619774,61;537086,14;-;-;82688,47;-;-;298,40;298,40;4429;2,1;10;0,48
"520800 Formosa";48844;48844;19485960,73;13450176,79;-;-;6035783,94;-;-;398,94;398,94;129397;2,6;1198;2,45
"520810 Formoso";3587;3587;1183450,25;976257,36;-;-;207192,89;-;-;329,93;329,93;10487;2,9;-;-
"520840 Goianápolis";5586;5586;1788909,62;1602387,00;-;-;186522,62;-;-;320,25;320,25;14593;2,6;14;0,25
"520850 Goiandira";3656;3656;968395,88;796126,99;-;-;172268,89;-;-;264,88;264,88;9725;2,7;18;0,49
"520860 Goianésia";39248;39248;14839874,31;11852262,28;-;-;2987612,03;-;-;378,11;378,11;112414;2,9;381;0,97
"520870 Goiânia";1450546;1489983;2165149114,40;1709472903,92;23451136,64;13869921,28;402082586,56;13869921,28;5125331,34;1453,14;1492,64;8395748;5,8;52795;3,64
"520880 Goianira";13867;13867;5134242,88;4321582,44;-;-;812660,44;-;-;370,25;370,25;53212;3,8;28;0,20
"520890 Goiás";15312;15312;9551216,08;8061528,96;-;-;1489687,12;-;-;623,77;623,77;51702;3,4;793;5,18
"520910 Goiatuba";16792;16792;6716265,22;4862675,96;22193,17;-;1818947,92;-;-;399,97;399,97;49191;2,9;278;1,66
"520960 Heitoraí";2273;2273;927724,32;852301,30;-;-;75423,02;-;-;408,15;408,15;6828;3,0;-;-
"520970 Hidrolândia";9554;9554;2894129,56;2370671,97;-;-;523457,59;-;-;302,92;302,92;24664;2,6;65;0,68
"520980 Hidrolina";1526;1526;545736,66;448679,42;-;-;97057,24;-;-;357,63;357,63;3340;2,2;3;0,20
"520990 Iaciara";7256;7256;2433961,88;1927949,82;-;-;506012,06;-;-;335,44;335,44;19368;2,7;43;0,59
"520993 Inaciolândia";634;634;216901,12;165878,88;-;-;51022,24;-;-;342,12;342,12;1645;2,6;-;-
"520995 Indiara";7601;7601;2627257,25;2141131,64;-;-;486125,61;-;-;345,65;345,65;18628;2,5;-;-
"521000 Inhumas";28628;28628;14478070,15;12056952,50;-;-;2421117,65;-;-;505,73;505,73;76058;2,7;545;1,90
"521010 Ipameri";13859;13859;5144785,50;4285328,93;-;-;859456,57;-;-;371,22;371,22;38921;2,8;32;0,23
"521020 Iporá";14463;14463;5617836,83;4397938,40;8689,42;-;1206627,54;-;-;388,43;388,43;44401;3,1;398;2,75
"521030 Israelândia";953;953;252570,41;217937,89;-;-;34632,52;-;-;265,03;265,03;2553;2,7;1;0,10
"521040 Itaberaí";9529;9529;3681565,42;2918395,74;36,32;-;762973,20;-;-;386,35;386,35;29438;3,1;45;0,47
"521060 Itaguaru";1625;1625;601362,07;533253,07;-;-;68109,00;-;-;370,07;370,07;4985;3,1;7;0,43
"521080 Itajá";2848;2848;749439,81;600201,71;-;-;149238,10;-;-;263,15;263,15;6887;2,4;6;0,21
"521090 Itapaci";20121;20121;6705608,32;5399877,04;2408,48;-;1302016,34;-;-;333,26;333,26;61475;3,1;94;0,47
"521100 Itapirapuã";4124;4124;1260349,05;1043663,09;-;-;216685,96;-;-;305,61;305,61;10905;2,6;23;0,56
"521120 Itapuranga";33381;33381;10665539,34;8652883,03;-;-;2012656,31;-;-;319,51;319,51;83461;2,5;285;0,85
"521130 Itarumã";3416;3416;1097445,48;807161,33;-;-;290284,15;-;-;321,27;321,27;8706;2,5;5;0,15
"521140 Itauçu";6766;6766;1746637,87;1499506,85;-;-;247131,02;-;-;258,15;258,15;17390;2,6;84;1,24
"521150 Itumbiara";44194;44194;28590665,51;22669367,06;-;-;5921298,45;-;-;646,94;646,94;150482;3,4;2616;5,92
"521160 Ivolândia";2172;2172;587212,98;492399,98;-;-;94813,00;-;-;270,36;270,36;5517;2,5;5;0,23
"521170 Jandaia";5596;5596;1464366,65;1207165,30;-;-;257201,35;-;-;261,68;261,68;12059;2,2;13;0,23
"521180 Jaraguá";29341;29341;8720750,76;7093458,78;3932,01;-;1621035,31;-;-;297,22;297,22;76241;2,6;76;0,26
"521190 Jataí";54014;55286;36091170,35;28359674,09;50219,23;-;7644190,79;-;-;652,81;668,18;298798;5,5;2111;3,91
"521200 Jaupaci";934;934;281565,66;245438,92;-;-;36126,74;-;-;301,46;301,46;2596;2,8;7;0,75
